,EWS,MSCI_BH,60_40,Butterfly,Permanent,RiskParity
CAGR,0.3098094708578216,0.16787295490279242,0.13745216043093045,0.1269632521474089,0.10728103804609113,0.12426283665803894
Total_Return,0.8738477174208596,0.4349090677126799,0.34943544709013863,0.3206569053608521,0.26760703922784423,0.3133049634320806
Best_Week,0.09520476921870849,0.06347553204324156,0.05545631168206979,0.04239986175123691,0.03214183577898161,0.042899883639650485
Worst_Week,-0.08431905343854286,-0.12088882668724217,-0.09958828646685518,-0.08259548498543175,-0.06567951498982462,-0.07869615582877214
Vol_Annualized,0.19217797687678126,0.16091083156261216,0.11351255118625639,0.08508554253155363,0.06980753175208051,0.08377799615246467
Downside_Deviation,0.1251795609309571,0.12082633888555505,0.08479833238786445,0.06271692241374585,0.05173537550794659,0.06110885059529418
Max_Drawdown,-0.22254803293032266,-0.27720914073508507,-0.20307646481111918,-0.12029138540105988,-0.10025923250118318,-0.11148721293056019
Max_DD_Duration_Weeks,26.0,39.0,38.0,15.0,15.0,15.0
Time_Underwater_Pct,61.15702479338842,64.46280991735537,58.67768595041323,60.33057851239669,62.8099173553719,57.85123966942148
Skewness,-0.5041219339482447,-1.7898881024146303,-2.2054946441626044,-2.6862351059552347,-2.6735732214562624,-2.41902873576148
Kurtosis,2.1466136612571303,8.306518166257097,15.260759666321647,22.005474020995514,18.8714889006807,19.307062959021394
Sharpe,1.4483222089594963,0.9815181865144855,1.0997257631033142,1.324258510810489,1.3438525351502209,1.314784963204792
Sortino,2.223491038901016,1.3071397266739042,1.472112404335144,1.7965686055354393,1.8132859304984363,1.8025220326623494
Calmar,1.392101591636263,0.6055823211948852,0.6768492870839282,1.0554642107088927,1.0700364980833568,1.114592726750072
Information_Ratio_vs_6040,1.1393646016748809,0.5495501288202289,,-0.18436895692045172,-0.44281744772471776,-0.20290474292128174
COVID_Crash_DD,-0.2142601240390244,-0.27216424033624753,-0.2008599656315938,-0.12029138540105988,-0.10025923250118318,-0.11148721293056019
COVID_Recovery_Weeks,22.0,35.0,33.0,10.0,11.0,10.0
Worst_4w_Period,-0.2142601240390244,-0.27216424033624775,-0.19573334848438517,-0.11853062674347292,-0.10025923250118307,-0.10931646640935755
Tail_Ratio,0.9716492611787321,0.7292082695987147,0.8685280984758588,0.960663910599153,0.8732553508085726,0.9368709316598454
Annual_Turnover,1.2892561983471074,,,,,
Cumulative_TC,0.00455,,,,,
Hit_Ratio_RiskOff,0.4782608695652174,,,,,
