cluster_id,representative,AP_best_w,top_member,top_AP_best_w,reason,members
1,hy_ig_spread,0.6183667650950229,hy_ig_spread,0.6183667650950229,highest stage-1 AP_best_w,em_spread|hy_ig_spread|us_de_10y
2,gold_oil_ratio,0.6102442830460524,gold_oil_ratio,0.6102442830460524,highest stage-1 AP_best_w,gold_oil_ratio
3,it_de_10y,0.7138938318009496,it_de_10y,0.7138938318009496,highest stage-1 AP_best_w,it_de_10y
4,de_term_10y_2y,0.4333406403449852,de_term_10y_2y,0.4333406403449852,highest stage-1 AP_best_w,de_term_10y_2y|us_term_10y_2y
5,ECSURPUS,0.4591924096536454,ECSURPUS,0.4591924096536454,hard-to-extend top kept: no runner-up in cluster,ECSURPUS
6,equity_bond_corr_13w,0.331138998836986,equity_bond_corr_13w,0.331138998836986,highest stage-1 AP_best_w,equity_bond_corr_13w
7,GTITL10YR,0.5222230529266774,GTITL10YR,0.5222230529266774,highest stage-1 AP_best_w,GTITL10YR|GTITL2YR|GTITL30YR
8,it_de_10y_chg4w,0.5910580745714855,it_de_10y_chg4w,0.5910580745714855,highest stage-1 AP_best_w,it_de_10y_chg4w
9,JPY,0.396317839341729,JPY,0.396317839341729,highest stage-1 AP_best_w,JPY
10,jpy_strength,0.3940144275606764,jpy_strength,0.3940144275606764,highest stage-1 AP_best_w,jpy_strength
11,GBP,0.4908463225131858,GBP,0.4908463225131858,highest stage-1 AP_best_w,DXY|GBP
12,LF94TRUU,0.4209345809759379,LF94TRUU,0.4209345809759379,highest stage-1 AP_best_w,LF94TRUU
13,XAUBGNL,0.4239004813987094,XAUBGNL,0.4239004813987094,highest stage-1 AP_best_w,XAUBGNL
14,us_de_10y_chg4w,0.4948394055984431,us_de_10y_chg4w,0.4948394055984431,highest stage-1 AP_best_w,us_de_10y_chg4w
15,equity_bond_rot,0.6504156904484707,equity_bond_rot,0.6504156904484707,highest stage-1 AP_best_w,equity_bond_rot|hy_ig_spread_chg4w
16,em_spread_chg4w,0.5570141544232214,em_spread_chg4w,0.5570141544232214,highest stage-1 AP_best_w,em_spread_chg4w
17,VIX,0.7491217296537513,VIX,0.7491217296537513,highest stage-1 AP_best_w,VIX
18,Cl1,0.5394401300123403,Cl1,0.5394401300123403,highest stage-1 AP_best_w,CRY|Cl1
19,LP01TREU,0.5870127147166531,LP01TREU,0.5870127147166531,highest stage-1 AP_best_w,EMUSTRUU|LF98TRUU|LG30TRUU|LP01TREU
20,MXBR,0.5662393948370108,MXRU,0.5749884898834456,runner-up within 0.05 AP of hard-to-extend top 'MXRU' (AP 0.575 vs 0.566),MXBR|MXRU
21,MXCN,0.5342605640871252,MXCN,0.5342605640871252,highest stage-1 AP_best_w,MXCN|MXIN
22,MXUS,0.5934813204994799,MXUS,0.5934813204994799,highest stage-1 AP_best_w,MXEU|MXUS
23,MXJP,0.5441241520371707,MXJP,0.5441241520371707,highest stage-1 AP_best_w,MXJP
24,GTDEM10Y,0.4973242174629791,GTDEM10Y,0.4973242174629791,highest stage-1 AP_best_w,GTDEM10Y|GTGBP30Y
25,GTGBP2Y,0.4957585256601214,GTGBP2Y,0.4957585256601214,highest stage-1 AP_best_w,GTDEM2Y|GTGBP2Y
26,GT10,0.5063403182032629,GT10,0.5063403182032629,highest stage-1 AP_best_w,GT10|LUACTRUU|LUMSTRUU|USGG2YR
27,LMBITR,0.4326574267871195,LMBITR,0.4326574267871195,highest stage-1 AP_best_w,LMBITR
28,GTJPY30YR,0.4164299317361663,GTJPY30YR,0.4164299317361663,highest stage-1 AP_best_w,GTJPY10YR|GTJPY30YR
29,GTJPY2YR,0.4102359075194893,GTJPY2YR,0.4102359075194893,highest stage-1 AP_best_w,GTJPY2YR
30,us_term_10y_2y_chg4w,0.5130033403850411,us_term_10y_2y_chg4w,0.5130033403850411,highest stage-1 AP_best_w,us_term_10y_2y_chg4w
31,de_term_10y_2y_chg4w,0.4683863151615628,de_term_10y_2y_chg4w,0.4683863151615628,highest stage-1 AP_best_w,de_term_10y_2y_chg4w
32,USGG3M,0.3760096376550096,USGG3M,0.3760096376550096,highest stage-1 AP_best_w,USGG3M
33,US0001M,0.509076411382004,US0001M,0.509076411382004,hard-to-extend top kept: no runner-up in cluster,US0001M
34,vrp,0.5273519841595273,vrp,0.5273519841595273,highest stage-1 AP_best_w,vrp
35,BDIY,0.497820210659319,BDIY,0.497820210659319,hard-to-extend top kept: no runner-up in cluster,BDIY
36,EONIA,0.4161667530951294,EONIA,0.4161667530951294,hard-to-extend top kept: no runner-up in cluster,EONIA
