feature,cluster_id
em_spread,1
hy_ig_spread,1
us_de_10y,1
gold_oil_ratio,2
it_de_10y,3
de_term_10y_2y,4
us_term_10y_2y,4
ECSURPUS,5
equity_bond_corr_13w,6
GTITL10YR,7
GTITL2YR,7
GTITL30YR,7
it_de_10y_chg4w,8
JPY,9
jpy_strength,10
DXY,11
GBP,11
LF94TRUU,12
XAUBGNL,13
us_de_10y_chg4w,14
equity_bond_rot,15
hy_ig_spread_chg4w,15
em_spread_chg4w,16
VIX,17
CRY,18
Cl1,18
EMUSTRUU,19
LF98TRUU,19
LG30TRUU,19
LP01TREU,19
MXBR,20
MXRU,20
MXCN,21
MXIN,21
MXEU,22
MXUS,22
MXJP,23
GTDEM10Y,24
GTGBP30Y,24
GTDEM2Y,25
GTGBP2Y,25
GT10,26
LUACTRUU,26
LUMSTRUU,26
USGG2YR,26
LMBITR,27
GTJPY10YR,28
GTJPY30YR,28
GTJPY2YR,29
us_term_10y_2y_chg4w,30
de_term_10y_2y_chg4w,31
USGG3M,32
US0001M,33
vrp,34
BDIY,35
EONIA,36
