feature,AP_abs_w,AP_dir_w,sign,n_folds,AP_best_w,lift_vs_random
VIX,0.7127236860049359,0.7491217296537513,1,5,0.7491217296537513,2.1652562884503226
it_de_10y,0.7138938318009496,0.7138938318009496,1,5,0.7138938318009496,2.063433815098868
equity_bond_rot,0.6177203302141113,0.6504156904484707,-1,5,0.6504156904484707,1.879957032485551
hy_ig_spread,0.3272640151894067,0.6183667650950229,1,5,0.6183667650950229,1.7873230393537507
gold_oil_ratio,0.6102442830460524,0.5969659092323694,1,5,0.6102442830460524,1.7638458731761162
MXUS,0.5934813204994799,0.5760503436978782,-1,5,0.5934813204994799,1.7153943216721976
it_de_10y_chg4w,0.5366419167251707,0.5910580745714855,1,5,0.5910580745714855,1.7083901883299748
LP01TREU,0.5870127147166531,0.5676161881801867,-1,5,0.5870127147166531,1.6966975080645539
hy_ig_spread_chg4w,0.5743843387122148,0.5847239390852721,1,5,0.5847239390852721,1.6900820467416122
MXEU,0.5799619036247955,0.5494001317595917,-1,5,0.5799619036247955,1.676317892241133
LG30TRUU,0.5780851228821978,0.5698621169533525,-1,5,0.5780851228821978,1.6708932581074651
em_spread,0.28505175563083823,0.5757786722648295,1,5,0.5757786722648295,1.664226709126747
MXRU,0.5749884898834456,0.5325244705895439,-1,5,0.5749884898834456,1.6619427714133066
LF98TRUU,0.5743614710292798,0.5661329591323565,-1,5,0.5743614710292798,1.6601304404352866
MXBR,0.5662393948370108,0.5250356713850676,-1,5,0.5662393948370108,1.6366544473430669
us_de_10y,0.5418983672366066,0.5630017312290553,-1,5,0.5630017312290553,1.6272963267472957
EMUSTRUU,0.5575489151269607,0.49263843837566273,-1,5,0.5575489151269607,1.6115355446374502
em_spread_chg4w,0.5570141544232214,0.5286002295610951,1,5,0.5570141544232214,1.6099898759820732
MXJP,0.4881161656582152,0.5441241520371707,-1,5,0.5441241520371707,1.5727327018543966
Cl1,0.5394401300123403,0.520707169511257,-1,5,0.5394401300123403,1.5591940368510577
MXCN,0.5342605640871252,0.5198546636244055,-1,5,0.5342605640871252,1.5442230551706857
vrp,0.5273519841595273,0.5137543281364668,1,5,0.5273519841595273,1.5242545433249448
CRY,0.5214021998334206,0.5247245671373567,-1,5,0.5247245671373567,1.5166602752581702
GTITL10YR,0.5222230529266774,0.4502928496410456,-1,5,0.5222230529266774,1.5094299158106812
GTITL2YR,0.5208730970364687,0.48015116093210214,-1,5,0.5208730970364687,1.5055280126022987
us_term_10y_2y_chg4w,0.5130033403850411,0.3402404265063052,1,5,0.5130033403850411,1.4827813221732904
US0001M,0.509076411382004,0.37170051696965717,-1,5,0.509076411382004,1.4714309536263064
GT10,0.45688551962711965,0.5063403182032629,-1,5,0.5063403182032629,1.4635225687449955
GTITL30YR,0.5060454828636951,0.4171810618409843,-1,5,0.5060454828636951,1.4626703787099373
BDIY,0.47351201252163033,0.49782021065931903,-1,5,0.49782021065931903,1.4388961085749985
GTDEM10Y,0.4644275299585382,0.49732421746297917,-1,5,0.49732421746297917,1.4374624932560305
MXIN,0.4967887791606948,0.4808549384754255,-1,5,0.4967887791606948,1.4359148660744852
GTGBP2Y,0.41518060378236277,0.4957585256601214,-1,5,0.4957585256601214,1.4329370284514253
us_de_10y_chg4w,0.4948394055984431,0.448292773815984,-1,5,0.4948394055984431,1.4302804101548106
GTGBP30Y,0.46695963515033095,0.4923394885313248,-1,5,0.4923394885313248,1.4230546670800717
GBP,0.4908463225131858,0.47524713256700896,-1,5,0.4908463225131858,1.4187388303041577
GTDEM2Y,0.3837537605447956,0.4862124491085182,-1,5,0.4862124491085182,1.4053451145271814
DXY,0.4752794655444117,0.4740509159974722,1,5,0.4752794655444117,1.3737444941251444
de_term_10y_2y_chg4w,0.46838631516156287,0.44985768063898257,1,5,0.46838631516156287,1.3538205797292882
LUACTRUU,0.46385233308049506,0.4218362796005224,1,5,0.46385233308049506,1.3407155891461278
ECSURPUS,0.45919240965364544,0.37369849714499076,-1,5,0.45919240965364544,1.327246578564434
LUMSTRUU,0.37307085635492737,0.4337873741530328,1,5,0.4337873741530328,1.2538160389091093
de_term_10y_2y,0.31275644625792387,0.4333406403449852,-1,5,0.4333406403449852,1.252524802586829
LMBITR,0.422228957260382,0.4326574267871195,1,5,0.4326574267871195,1.250550046824228
USGG2YR,0.3618945293913361,0.42916379822931766,-1,5,0.42916379822931766,1.240452086900163
XAUBGNL,0.42390048139870945,0.37390206421404376,-1,5,0.42390048139870945,1.2252390321796058
LF94TRUU,0.42093458097593794,0.364323560905244,1,5,0.42093458097593794,1.216666414022752
GTJPY30YR,0.3495370079481075,0.4164299317361663,-1,5,0.4164299317361663,1.2036462068820692
EONIA,0.38861434700220726,0.4161667530951294,-1,5,0.4161667530951294,1.2028855171504358
GTJPY2YR,0.3646587380088599,0.41023590751948935,-1,5,0.41023590751948935,1.1857430419422772
JPY,0.396317839341729,0.3467797247516431,1,5,0.396317839341729,1.1455143535301748
GTJPY10YR,0.3160719603958215,0.3957532803752558,-1,5,0.3957532803752558,1.143882556181402
jpy_strength,0.39401442756067645,0.3415434583401768,-1,5,0.39401442756067645,1.1388565879810166
USGG3M,0.35593786377852005,0.37600963765500967,-1,5,0.37600963765500967,1.086815667230405
equity_bond_corr_13w,0.276637620764751,0.331138998836986,-1,5,0.331138998836986,0.9571218817992774
us_term_10y_2y,0.2719000951037294,0.28492155315094336,-1,5,0.28492155315094336,0.8235352950718182
