usd,oro,calmar_concat
0.5,0.5,-0.02960807444843733
0.5,0.75,-0.04013660941945793
0.5,1.0,-0.05192349510132868
0.5,1.25,-0.06663693011477725
0.5,1.5,-0.05817822576353999
0.75,0.5,-0.02960807444843733
0.75,0.75,-0.04013660941945793
0.75,1.0,-0.05192349510132868
0.75,1.25,-0.06663693011477725
0.75,1.5,-0.05817822576353999
1.0,0.5,-0.02433210141205711
1.0,0.75,-0.03526935395436457
1.0,1.0,-0.05192349510132868
1.0,1.25,-0.06663693011477725
1.0,1.5,-0.05817822576353999
1.25,0.5,-0.02478429706435227
1.25,0.75,-0.035659650188883146
1.25,1.0,-0.05226141066838021
1.25,1.25,-0.06692829207452242
1.25,1.5,-0.0587483657762603
1.5,0.5,-0.021421767930395904
1.5,0.75,-0.035659650188883146
1.5,1.0,-0.05226141066838021
1.5,1.25,-0.06692829207452242
1.5,1.5,-0.0587483657762603
