usd,oro,calmar_wmedian
0.5,0.5,-0.09325376112517482
0.5,0.75,-0.13188309328231873
0.5,1.0,-0.19435749039362157
0.5,1.25,-0.22025921381253247
0.5,1.5,-0.2247623112729742
0.75,0.5,-0.09325376112517482
0.75,0.75,-0.13188309328231873
0.75,1.0,-0.19435749039362157
0.75,1.25,-0.22025921381253247
0.75,1.5,-0.2247623112729742
1.0,0.5,-0.09325376112517482
1.0,0.75,-0.13188309328231873
1.0,1.0,-0.19435749039362157
1.0,1.25,-0.22025921381253247
1.0,1.5,-0.2247623112729742
1.25,0.5,-0.09325376112517482
1.25,0.75,-0.13188309328231873
1.25,1.0,-0.19435749039362157
1.25,1.25,-0.22025921381253247
1.25,1.5,-0.22707374305870454
1.5,0.5,-0.07276052701590494
1.5,0.75,-0.13188309328231873
1.5,1.0,-0.19435749039362157
1.5,1.25,-0.22025921381253247
1.5,1.5,-0.22707374305870454
