usd,oro,cost_C
0.5,0.5,4.010000000000001
0.5,0.75,4.010000000000001
0.5,1.0,4.010000000000001
0.5,1.25,4.010000000000001
0.5,1.5,4.010000000000001
0.75,0.5,4.010000000000001
0.75,0.75,4.010000000000001
0.75,1.0,4.010000000000001
0.75,1.25,4.010000000000001
0.75,1.5,4.010000000000001
1.0,0.5,4.010000000000001
1.0,0.75,4.010000000000001
1.0,1.0,4.010000000000001
1.0,1.25,4.010000000000001
1.0,1.5,4.010000000000001
1.25,0.5,4.010000000000001
1.25,0.75,4.010000000000001
1.25,1.0,4.010000000000001
1.25,1.25,4.010000000000001
1.25,1.5,4.010000000000001
1.5,0.5,4.010000000000001
1.5,0.75,4.010000000000001
1.5,1.0,4.010000000000001
1.5,1.25,4.010000000000001
1.5,1.5,4.010000000000001
