usd,oro,sortino_wmedian
0.5,0.5,-0.1089069843279934
0.5,0.75,-0.21238630305333392
0.5,1.0,-0.37151403039376446
0.5,1.25,-0.44058605452769156
0.5,1.5,-0.49681823483597926
0.75,0.5,-0.1089069843279934
0.75,0.75,-0.21238630305333392
0.75,1.0,-0.37151403039376446
0.75,1.25,-0.44058605452769156
0.75,1.5,-0.49681823483597926
1.0,0.5,-0.1089069843279934
1.0,0.75,-0.21238630305333392
1.0,1.0,-0.37151403039376446
1.0,1.25,-0.44058605452769156
1.0,1.5,-0.49681823483597926
1.25,0.5,-0.1089069843279934
1.25,0.75,-0.21238630305333392
1.25,1.0,-0.37151403039376446
1.25,1.25,-0.44058605452769156
1.25,1.5,-0.49681823483597926
1.5,0.5,-0.05182247973402337
1.5,0.75,-0.21238630305333392
1.5,1.0,-0.37151403039376446
1.5,1.25,-0.44058605452769156
1.5,1.5,-0.49681823483597926
