model,hyperparam,tau,F2_w,AUC_PR_w
svm,0.05,0.8,0.7120622936835838,0.725882963781113
svm,0.05,0.8025,0.7120622936835838,0.725882963781113
svm,0.05,0.805,0.7134412192985025,0.725882963781113
svm,0.05,0.8075,0.714339765010744,0.725882963781113
svm,0.05,0.81,0.715266825778852,0.725882963781113
svm,0.05,0.8125,0.7171470301973608,0.725882963781113
svm,0.05,0.815,0.7120719072576815,0.725882963781113
svm,0.05,0.8175,0.7130532824408446,0.725882963781113
svm,0.05,0.82,0.7135900510935553,0.725882963781113
svm,0.05,0.8225,0.7138674820825968,0.725882963781113
svm,0.05,0.825,0.7138674820825968,0.725882963781113
svm,0.05,0.8275,0.7102749256538355,0.725882963781113
svm,0.05,0.83,0.7102749256538355,0.725882963781113
svm,0.05,0.8325,0.7111772087740883,0.725882963781113
svm,0.05,0.835,0.7111772087740883,0.725882963781113
svm,0.05,0.8375,0.712737799187754,0.725882963781113
svm,0.05,0.84,0.7130348083059339,0.725882963781113
svm,0.05,0.8425,0.7133388058739534,0.725882963781113
svm,0.05,0.845,0.7076018649698853,0.725882963781113
svm,0.05,0.8475,0.7076018649698853,0.725882963781113
svm,0.05,0.85,0.7042326738164187,0.725882963781113
svm,0.05,0.8525,0.6999879241846722,0.725882963781113
svm,0.05,0.855,0.6939347019033797,0.725882963781113
svm,0.05,0.8575,0.6943827305772148,0.725882963781113
svm,0.05,0.86,0.6943827305772148,0.725882963781113
svm,0.05,0.8625,0.6958514425074563,0.725882963781113
svm,0.05,0.865,0.6958514425074563,0.725882963781113
svm,0.05,0.8675,0.6977535291453805,0.725882963781113
svm,0.05,0.87,0.6982947095952365,0.725882963781113
svm,0.05,0.8725,0.6920543050978857,0.725882963781113
svm,0.05,0.875,0.6933295184095337,0.725882963781113
svm,0.05,0.8775,0.6949081569274677,0.725882963781113
svm,0.05,0.88,0.6959205986138813,0.725882963781113
svm,0.05,0.8825,0.6996244115101823,0.725882963781113
svm,0.05,0.885,0.701963977092832,0.725882963781113
svm,0.05,0.8875,0.6977218034006658,0.725882963781113
svm,0.05,0.89,0.6977218034006658,0.725882963781113
svm,0.05,0.8925,0.6980285283450719,0.725882963781113
svm,0.05,0.895,0.7004195450967715,0.725882963781113
svm,0.05,0.8975,0.7004195450967715,0.725882963781113
svm,0.05,0.9,0.7004195450967715,0.725882963781113
svm,0.05,0.9025,0.7014657795265652,0.725882963781113
svm,0.05,0.905,0.7014657795265652,0.725882963781113
svm,0.05,0.9075,0.6956002610628055,0.725882963781113
svm,0.05,0.91,0.6958304958777103,0.725882963781113
svm,0.05,0.9125,0.6958304958777103,0.725882963781113
svm,0.05,0.915,0.6917108600376443,0.725882963781113
svm,0.05,0.9175,0.6924344163167562,0.725882963781113
svm,0.05,0.92,0.6949563556493067,0.725882963781113
svm,0.05,0.9225,0.6973507415239072,0.725882963781113
svm,0.05,0.925,0.6984679602169958,0.725882963781113
svm,0.05,0.9275,0.6984679602169958,0.725882963781113
svm,0.05,0.93,0.6984679602169958,0.725882963781113
svm,0.05,0.9325,0.6925151927212709,0.725882963781113
svm,0.05,0.935,0.6965091623549116,0.725882963781113
svm,0.05,0.9375,0.6996416545963552,0.725882963781113
svm,0.05,0.94,0.691411201921458,0.725882963781113
svm,0.05,0.9425,0.6877909052512681,0.725882963781113
svm,0.05,0.945,0.6877909052512681,0.725882963781113
svm,0.05,0.9475,0.6813063061740763,0.725882963781113
svm,0.05,0.95,0.6813063061740763,0.725882963781113
svm,0.05,0.9525,0.6813063061740763,0.725882963781113
svm,0.05,0.955,0.6813063061740763,0.725882963781113
svm,0.05,0.9575,0.6813063061740763,0.725882963781113
svm,0.05,0.96,0.6824119077860828,0.725882963781113
svm,0.05,0.9625,0.6720258330564288,0.725882963781113
svm,0.05,0.965,0.6720258330564288,0.725882963781113
svm,0.05,0.9675,0.6667613179241086,0.725882963781113
svm,0.05,0.97,0.6704641771284486,0.725882963781113
svm,0.05,0.9725,0.6666061705989111,0.725882963781113
svm,0.05,0.975,0.6613697848588468,0.725882963781113
svm,0.05,0.9775,0.6555378104193076,0.725882963781113
svm,0.05,0.98,0.6481572414445357,0.725882963781113
svm,0.05,0.9825,0.6481572414445357,0.725882963781113
svm,0.05,0.985,0.6492795336881358,0.725882963781113
svm,0.05,0.9875,0.6435784863889439,0.725882963781113
svm,0.05,0.99,0.6442498827895982,0.725882963781113
svm,0.05,0.9925,0.6482830048546208,0.725882963781113
svm,0.05,0.995,0.6345301895948928,0.725882963781113
svm,0.05,0.9975,0.6271696111463372,0.725882963781113
svm,0.05,1.0,0.6271696111463372,0.725882963781113
svm,0.1,0.8,0.7141004810285526,0.7290351965569865
svm,0.1,0.8025,0.7141004810285526,0.7290351965569865
svm,0.1,0.805,0.7153001229458342,0.7290351965569865
svm,0.1,0.8075,0.7153001229458342,0.7290351965569865
svm,0.1,0.81,0.7155330602856897,0.7290351965569865
svm,0.1,0.8125,0.7123597564188476,0.7290351965569865
svm,0.1,0.815,0.7125971733229312,0.7290351965569865
svm,0.1,0.8175,0.7160913952962705,0.7290351965569865
svm,0.1,0.82,0.7169719700942672,0.7290351965569865
svm,0.1,0.8225,0.7148351123528428,0.7290351965569865
svm,0.1,0.825,0.7150893130188485,0.7290351965569865
svm,0.1,0.8275,0.7107033481065679,0.7290351965569865
svm,0.1,0.83,0.7112285099220523,0.7290351965569865
svm,0.1,0.8325,0.7112285099220523,0.7290351965569865
svm,0.1,0.835,0.7132771011982858,0.7290351965569865
svm,0.1,0.8375,0.7162686273202665,0.7290351965569865
svm,0.1,0.84,0.714389336675777,0.7290351965569865
