mode,metric,fold,tau_star,n_pos,best_value,tau_min,tau_max,tau_std
soft_median,F1,1,1.0,53,0.7307692307692307,,,
soft_median,F1,2,0.9725,64,0.7189542483660131,,,
soft_median,F1,3,1.0,2,0.0,,,
soft_median,F1,4,0.9725,10,0.2727272727272727,,,
soft_median,F1,5,0.88,6,0.5714285714285714,,,
soft_median,F1,summary,0.9725,135,,0.88,1.0,0.04424364361125788
soft_median,F2,1,0.8575,53,0.7738095238095238,,,
soft_median,F2,2,0.9325,64,0.8146067415730337,,,
soft_median,F2,3,1.0,2,0.0,,,
soft_median,F2,4,0.8775,10,0.39325842696629215,,,
soft_median,F2,5,0.88,6,0.625,,,
soft_median,F2,summary,0.88,135,,0.8575,1.0,0.05160910772334666
soft_mean,F1,1,0.98,53,0.717948717948718,,,
soft_mean,F1,2,0.9425,64,0.7050359712230215,,,
soft_mean,F1,3,1.0,2,0.0,,,
soft_mean,F1,4,0.9825,10,0.26666666666666666,,,
soft_mean,F1,5,0.8775,6,0.6153846153846154,,,
soft_mean,F1,summary,0.9425,135,,0.8775,1.0,0.04372070447739837
soft_mean,F2,1,0.9725,53,0.7801418439716312,,,
soft_mean,F2,2,0.8675,64,0.7915567282321899,,,
soft_mean,F2,3,1.0,2,0.0,,,
soft_mean,F2,4,0.895,10,0.379746835443038,,,
soft_mean,F2,5,0.8775,6,0.6451612903225806,,,
soft_mean,F2,summary,0.8775,135,,0.8675,1.0,0.05350233639758174
